Column1,time,topicName,query,hotPos,popular,id,active_time_hr,climbing_time,top_hotPos,max_span_up_hotPos,max_span_down_hotPos,hotPos_flucation_avg_span,max_span_up_popular,max_span_down_popular,popular_avg,is_business_day
154,2021-12-05 16:00:00,#sundayvibes,#sundayvibes,4,18400,M_004,1352.0,171.0,1,15.0,10.0,2.807017543859649,4100.0,20000.0,15643.719298245614,1
155,2021-12-19 18:00:00,#sundayvibes,#sundayvibes,13,23800,M_004,1690.0,171.0,1,15.0,10.0,2.75,4100.0,20000.0,15708.70588235294,1
156,2022-03-06 09:00:00,#sundayvibes,#sundayvibes,16,8077,M_004,3529.0,171.0,1,15.0,10.0,2.8395061728395063,4100.0,20000.0,15708.25925925926,1
157,2022-01-02 12:00:00,#sundayvibes,#sundayvibes,2,10900,M_004,2020.0,171.0,1,15.0,10.0,2.8285714285714287,4100.0,20000.0,15561.314285714287,1
158,2021-11-28 12:00:00,#sundayvibes,#sundayvibes,1,13300,M_004,1180.0,171.0,1,15.0,10.0,3.0425531914893615,4100.0,20000.0,15598.340425531915,1
159,2022-03-06 20:00:00,#sundayvibes,#sundayvibes,9,30600,M_004,3540.0,171.0,1,15.0,15.0,2.811111111111111,4100.0,20000.0,16329.655555555555,1
160,2022-03-06 19:00:00,#sundayvibes,#sundayvibes,6,28900,M_004,3539.0,171.0,1,15.0,15.0,2.808988764044944,4100.0,20000.0,16169.314606741573,1
161,2022-03-06 18:00:00,#sundayvibes,#sundayvibes,4,26700,M_004,3538.0,171.0,1,15.0,15.0,2.8181818181818183,4100.0,20000.0,16024.647727272728,1
162,2022-03-06 17:00:00,#sundayvibes,#sundayvibes,4,24800,M_004,3537.0,171.0,1,15.0,15.0,2.8505747126436782,4100.0,20000.0,15901.942528735632,1
163,2022-03-06 16:00:00,#sundayvibes,#sundayvibes,4,22400,M_004,3536.0,171.0,1,15.0,15.0,2.883720930232558,4100.0,20000.0,15798.476744186046,1
164,2022-03-06 15:00:00,#sundayvibes,#sundayvibes,1,19700,M_004,3535.0,171.0,1,15.0,15.0,2.8823529411764706,4100.0,20000.0,15720.811764705883,1
